testcase,alpha,max_no_improve,reheat_ratio,k,cost
edge_N1_24_N1_M500,0.999,2000,0.2,1,162840
edge_N1_24_N1_M500,0.999,2000,0.2,2,162047
edge_N1_24_N1_M500,0.999,2000,0.2,0,163580
edge_N1_24_N1_M500,0.999,2000,0.3,0,161555
edge_N1_24_N1_M500,0.999,2000,0.3,1,163242
edge_N1_24_N1_M500,0.999,2000,0.3,2,162754
edge_N1_24_N1_M500,0.999,2000,0.5,0,162568
edge_N1_24_N1_M500,0.999,2000,0.5,2,163546
edge_N1_24_N1_M500,0.999,2000,0.5,1,164932
edge_dense_30_N50_M1000,0.99,1000,0.2,0,672
edge_dense_30_N50_M1000,0.99,1000,0.2,1,672
edge_dense_30_N50_M1000,0.99,1000,0.3,1,672
edge_dense_30_N50_M1000,0.99,1000,0.2,2,672
edge_dense_30_N50_M1000,0.99,1000,0.3,0,672
edge_dense_30_N50_M1000,0.99,1000,0.5,0,672
edge_dense_30_N50_M1000,0.99,1000,0.5,1,672
edge_dense_30_N50_M1000,0.99,1000,0.3,2,672
edge_dense_30_N50_M1000,0.99,1000,0.5,2,672
edge_dense_30_N50_M1000,0.99,2000,0.3,0,672
edge_dense_30_N50_M1000,0.99,2000,0.2,1,672
edge_dense_30_N50_M1000,0.99,2000,0.2,0,672
edge_dense_30_N50_M1000,0.99,2000,0.2,2,672
edge_dense_30_N50_M1000,0.99,2000,0.3,1,672
edge_dense_30_N50_M1000,0.99,2000,0.3,2,672
edge_dense_30_N50_M1000,0.99,2000,0.5,0,672
edge_dense_30_N50_M1000,0.99,2000,0.5,1,672
edge_dense_30_N50_M1000,0.99,2000,0.5,2,672
edge_dense_30_N50_M1000,0.995,1000,0.2,0,672
edge_dense_30_N50_M1000,0.995,1000,0.2,1,672
edge_dense_30_N50_M1000,0.995,1000,0.2,2,672
edge_dense_30_N50_M1000,0.995,1000,0.3,0,672
edge_dense_30_N50_M1000,0.995,1000,0.3,1,672
edge_dense_30_N50_M1000,0.995,1000,0.3,2,672
edge_dense_30_N50_M1000,0.995,1000,0.5,0,672
edge_dense_30_N50_M1000,0.995,2000,0.2,0,672
edge_dense_30_N50_M1000,0.995,1000,0.5,1,672
edge_dense_30_N50_M1000,0.995,1000,0.5,2,672
edge_dense_30_N50_M1000,0.995,2000,0.2,1,672
edge_dense_30_N50_M1000,0.995,2000,0.2,2,672
edge_dense_30_N50_M1000,0.995,2000,0.3,1,672
edge_dense_30_N50_M1000,0.995,2000,0.3,0,672
edge_dense_30_N50_M1000,0.995,2000,0.5,1,672
edge_dense_30_N50_M1000,0.995,2000,0.3,2,672
edge_dense_30_N50_M1000,0.995,2000,0.5,0,672
edge_dense_30_N50_M1000,0.995,2000,0.5,2,672
edge_dense_30_N50_M1000,0.999,1000,0.2,0,672
edge_dense_30_N50_M1000,0.999,1000,0.2,1,672
edge_dense_30_N50_M1000,0.999,1000,0.2,2,672
edge_dense_30_N50_M1000,0.999,1000,0.3,1,672
edge_dense_30_N50_M1000,0.999,1000,0.3,0,672
edge_infeas_26_N30_M200,0.99,1000,0.2,0,-1
edge_infeas_26_N30_M200,0.99,1000,0.2,1,-1
edge_infeas_26_N30_M200,0.99,1000,0.2,2,-1
edge_infeas_26_N30_M200,0.99,1000,0.3,0,-1
edge_infeas_26_N30_M200,0.99,1000,0.3,1,-1
edge_infeas_26_N30_M200,0.99,1000,0.3,2,-1
edge_infeas_26_N30_M200,0.99,1000,0.5,0,-1
edge_infeas_26_N30_M200,0.99,1000,0.5,1,-1
edge_infeas_26_N30_M200,0.99,1000,0.5,2,-1
edge_infeas_26_N30_M200,0.99,2000,0.2,0,-1
edge_dense_30_N50_M1000,0.999,1000,0.3,2,672
edge_infeas_26_N30_M200,0.99,2000,0.2,1,-1
edge_infeas_26_N30_M200,0.99,2000,0.2,2,-1
edge_infeas_26_N30_M200,0.99,2000,0.3,0,-1
edge_infeas_26_N30_M200,0.99,2000,0.3,1,-1
edge_infeas_26_N30_M200,0.99,2000,0.3,2,-1
edge_infeas_26_N30_M200,0.99,2000,0.5,0,-1
edge_infeas_26_N30_M200,0.99,2000,0.5,1,-1
edge_infeas_26_N30_M200,0.99,2000,0.5,2,-1
edge_infeas_26_N30_M200,0.995,1000,0.2,0,-1
edge_infeas_26_N30_M200,0.995,1000,0.2,1,-1
edge_infeas_26_N30_M200,0.995,1000,0.2,2,-1
edge_infeas_26_N30_M200,0.995,1000,0.3,0,-1
edge_infeas_26_N30_M200,0.995,1000,0.3,2,-1
edge_infeas_26_N30_M200,0.995,1000,0.3,1,-1
edge_dense_30_N50_M1000,0.999,1000,0.5,0,672
edge_infeas_26_N30_M200,0.995,1000,0.5,1,-1
edge_infeas_26_N30_M200,0.995,1000,0.5,0,-1
edge_infeas_26_N30_M200,0.995,1000,0.5,2,-1
edge_infeas_26_N30_M200,0.995,2000,0.2,0,-1
edge_infeas_26_N30_M200,0.995,2000,0.2,2,-1
edge_infeas_26_N30_M200,0.995,2000,0.2,1,-1
edge_infeas_26_N30_M200,0.995,2000,0.3,0,-1
edge_infeas_26_N30_M200,0.995,2000,0.3,1,-1
edge_infeas_26_N30_M200,0.995,2000,0.3,2,-1
edge_infeas_26_N30_M200,0.995,2000,0.5,0,-1
edge_infeas_26_N30_M200,0.995,2000,0.5,1,-1
edge_infeas_26_N30_M200,0.995,2000,0.5,2,-1
edge_infeas_26_N30_M200,0.999,1000,0.2,0,-1
edge_infeas_26_N30_M200,0.999,1000,0.2,1,-1
edge_infeas_26_N30_M200,0.999,1000,0.2,2,-1
edge_infeas_26_N30_M200,0.999,1000,0.3,0,-1
edge_infeas_26_N30_M200,0.999,1000,0.3,1,-1
edge_infeas_26_N30_M200,0.999,1000,0.3,2,-1
edge_infeas_26_N30_M200,0.999,1000,0.5,1,-1
edge_infeas_26_N30_M200,0.999,1000,0.5,0,-1
edge_infeas_26_N30_M200,0.999,1000,0.5,2,-1
edge_infeas_26_N30_M200,0.999,2000,0.2,0,-1
edge_infeas_26_N30_M200,0.999,2000,0.2,1,-1
edge_infeas_26_N30_M200,0.999,2000,0.2,2,-1
edge_infeas_26_N30_M200,0.999,2000,0.3,0,-1
edge_infeas_26_N30_M200,0.999,2000,0.3,1,-1
edge_infeas_26_N30_M200,0.999,2000,0.3,2,-1
edge_infeas_26_N30_M200,0.999,2000,0.5,1,-1
edge_infeas_26_N30_M200,0.999,2000,0.5,2,-1
edge_infeas_26_N30_M200,0.999,2000,0.5,0,-1
edge_dense_30_N50_M1000,0.999,1000,0.5,1,672
edge_dense_30_N50_M1000,0.999,2000,0.2,0,672
edge_dense_30_N50_M1000,0.999,1000,0.5,2,672
edge_dense_30_N50_M1000,0.999,2000,0.2,2,672
edge_dense_30_N50_M1000,0.999,2000,0.2,1,672
edge_dense_30_N50_M1000,0.999,2000,0.3,0,672
edge_dense_30_N50_M1000,0.999,2000,0.3,1,672
edge_dense_30_N50_M1000,0.999,2000,0.3,2,672
edge_dense_30_N50_M1000,0.999,2000,0.5,0,672
edge_dense_30_N50_M1000,0.999,2000,0.5,2,672
edge_dense_30_N50_M1000,0.999,2000,0.5,1,672
edge_sparse_27_N40_M800,0.99,1000,0.2,1,348658
edge_sparse_27_N40_M800,0.99,1000,0.2,0,365600
edge_sparse_27_N40_M800,0.99,1000,0.2,2,358868
edge_sparse_27_N40_M800,0.99,1000,0.3,0,365600
edge_sparse_27_N40_M800,0.99,1000,0.3,1,348658
edge_sparse_27_N40_M800,0.99,1000,0.3,2,369484
edge_sparse_27_N40_M800,0.99,1000,0.5,0,365600
edge_sparse_27_N40_M800,0.99,1000,0.5,1,355021
edge_sparse_27_N40_M800,0.99,1000,0.5,2,366428
edge_sparse_27_N40_M800,0.99,2000,0.2,0,365600
edge_sparse_27_N40_M800,0.99,2000,0.2,1,355021
edge_sparse_27_N40_M800,0.99,2000,0.2,2,368366
edge_sparse_27_N40_M800,0.99,2000,0.3,0,365600
edge_sparse_27_N40_M800,0.99,2000,0.3,1,348658
edge_sparse_27_N40_M800,0.99,2000,0.5,0,365600
edge_sparse_27_N40_M800,0.99,2000,0.5,1,348658
edge_sparse_27_N40_M800,0.99,2000,0.3,2,375478
edge_sparse_27_N40_M800,0.99,2000,0.5,2,375478
edge_sparse_27_N40_M800,0.995,1000,0.2,1,354203
edge_sparse_27_N40_M800,0.995,1000,0.2,0,365600
edge_sparse_27_N40_M800,0.995,1000,0.2,2,368085
edge_sparse_27_N40_M800,0.995,1000,0.3,0,365600
edge_sparse_27_N40_M800,0.995,1000,0.3,1,354203
edge_sparse_27_N40_M800,0.995,1000,0.3,2,372474
edge_sparse_27_N40_M800,0.995,1000,0.5,0,365600
edge_sparse_27_N40_M800,0.995,1000,0.5,1,354203
edge_sparse_27_N40_M800,0.995,2000,0.2,0,365600
edge_sparse_27_N40_M800,0.995,1000,0.5,2,366428
edge_sparse_27_N40_M800,0.995,2000,0.2,1,343214
edge_sparse_27_N40_M800,0.995,2000,0.2,2,375478
edge_sparse_27_N40_M800,0.995,2000,0.3,1,343214
edge_sparse_27_N40_M800,0.995,2000,0.3,0,365600
edge_sparse_27_N40_M800,0.995,2000,0.3,2,366255
edge_sparse_27_N40_M800,0.995,2000,0.5,0,365600
edge_sparse_27_N40_M800,0.995,2000,0.5,1,354203
edge_sparse_27_N40_M800,0.995,2000,0.5,2,366255
edge_sparse_27_N40_M800,0.999,1000,0.2,0,365600
edge_sparse_27_N40_M800,0.999,1000,0.2,1,354203
edge_sparse_27_N40_M800,0.999,1000,0.2,2,365561
edge_sparse_27_N40_M800,0.999,1000,0.3,2,357353
edge_sparse_27_N40_M800,0.999,1000,0.3,0,355189
edge_sparse_27_N40_M800,0.999,1000,0.3,1,358514
edge_sparse_27_N40_M800,0.999,1000,0.5,0,365600
edge_sparse_27_N40_M800,0.999,1000,0.5,1,349744
edge_sparse_27_N40_M800,0.999,1000,0.5,2,364347
edge_sparse_27_N40_M800,0.999,2000,0.2,0,360450
edge_sparse_27_N40_M800,0.999,2000,0.2,2,357580
edge_sparse_27_N40_M800,0.999,2000,0.2,1,349744
edge_sparse_27_N40_M800,0.999,2000,0.3,1,349744
edge_sparse_27_N40_M800,0.999,2000,0.3,0,365600
edge_sparse_27_N40_M800,0.999,2000,0.3,2,360399
edge_sparse_27_N40_M800,0.999,2000,0.5,0,365600
large_19_N40_M800,0.99,1000,0.2,1,351717
edge_sparse_27_N40_M800,0.999,2000,0.5,2,375478
edge_sparse_27_N40_M800,0.999,2000,0.5,1,349744
large_19_N40_M800,0.99,1000,0.2,0,353672
large_19_N40_M800,0.99,1000,0.2,2,357632
large_19_N40_M800,0.99,1000,0.3,1,353346
large_19_N40_M800,0.99,1000,0.3,2,352539
large_19_N40_M800,0.99,1000,0.3,0,353672
large_19_N40_M800,0.99,1000,0.5,0,353672
large_19_N40_M800,0.99,1000,0.5,1,353346
large_19_N40_M800,0.99,2000,0.2,0,353672
large_19_N40_M800,0.99,1000,0.5,2,357632
large_19_N40_M800,0.99,2000,0.2,1,353346
large_19_N40_M800,0.99,2000,0.2,2,356770
large_19_N40_M800,0.99,2000,0.3,0,353672
large_19_N40_M800,0.99,2000,0.3,1,353346
large_19_N40_M800,0.99,2000,0.3,2,356770
large_19_N40_M800,0.99,2000,0.5,0,353672
large_19_N40_M800,0.99,2000,0.5,1,353346
large_19_N40_M800,0.995,1000,0.2,0,353672
large_19_N40_M800,0.99,2000,0.5,2,356770
large_19_N40_M800,0.995,1000,0.2,1,353346
large_19_N40_M800,0.995,1000,0.3,0,353672
large_19_N40_M800,0.995,1000,0.2,2,357632
large_19_N40_M800,0.995,1000,0.3,2,353867
large_19_N40_M800,0.995,1000,0.3,1,353346
large_19_N40_M800,0.995,1000,0.5,0,353672
large_19_N40_M800,0.995,1000,0.5,1,353346
large_19_N40_M800,0.995,1000,0.5,2,357632
large_19_N40_M800,0.995,2000,0.2,1,353346
large_19_N40_M800,0.995,2000,0.2,0,353672
large_19_N40_M800,0.995,2000,0.3,1,353346
large_19_N40_M800,0.995,2000,0.2,2,357632
large_19_N40_M800,0.995,2000,0.3,0,353672
large_19_N40_M800,0.995,2000,0.3,2,357632
large_19_N40_M800,0.995,2000,0.5,0,353672
large_19_N40_M800,0.995,2000,0.5,2,357632
large_19_N40_M800,0.995,2000,0.5,1,354395
large_19_N40_M800,0.999,1000,0.2,0,353672
large_19_N40_M800,0.999,1000,0.2,1,353346
large_19_N40_M800,0.999,1000,0.2,2,355617
large_19_N40_M800,0.999,1000,0.3,0,353672
large_19_N40_M800,0.999,1000,0.3,2,359085
large_19_N40_M800,0.999,1000,0.3,1,357259
large_19_N40_M800,0.999,1000,0.5,0,360659
large_19_N40_M800,0.999,1000,0.5,2,359085
large_19_N40_M800,0.999,2000,0.2,0,360659
large_19_N40_M800,0.999,1000,0.5,1,357259
large_19_N40_M800,0.999,2000,0.2,1,357259
large_19_N40_M800,0.999,2000,0.2,2,359085
large_19_N40_M800,0.999,2000,0.3,0,361940
large_19_N40_M800,0.999,2000,0.3,1,357259
large_19_N40_M800,0.999,2000,0.5,0,361940
large_19_N40_M800,0.999,2000,0.3,2,359085
large_19_N40_M800,0.999,2000,0.5,2,359085
large_19_N40_M800,0.999,2000,0.5,1,357259
large_21_N50_M1000,0.99,1000,0.2,0,515202
large_21_N50_M1000,0.99,1000,0.2,1,508115
large_21_N50_M1000,0.99,1000,0.3,0,515202
large_21_N50_M1000,0.99,1000,0.3,2,507816
large_21_N50_M1000,0.99,1000,0.3,1,508115
large_21_N50_M1000,0.99,1000,0.2,2,507816
large_21_N50_M1000,0.99,1000,0.5,0,515202
large_21_N50_M1000,0.99,1000,0.5,1,508115
large_21_N50_M1000,0.99,2000,0.2,1,508115
large_21_N50_M1000,0.99,1000,0.5,2,507816
large_21_N50_M1000,0.99,2000,0.2,2,507816
large_21_N50_M1000,0.99,2000,0.2,0,515202
large_21_N50_M1000,0.99,2000,0.3,0,515202
large_21_N50_M1000,0.99,2000,0.3,1,508115
large_21_N50_M1000,0.99,2000,0.3,2,507816
large_21_N50_M1000,0.99,2000,0.5,0,515202
large_21_N50_M1000,0.99,2000,0.5,2,507816
large_21_N50_M1000,0.99,2000,0.5,1,508073
large_21_N50_M1000,0.995,1000,0.3,0,515202
large_21_N50_M1000,0.995,1000,0.2,0,515202
large_21_N50_M1000,0.995,1000,0.2,1,508115
large_21_N50_M1000,0.995,1000,0.2,2,507816
large_21_N50_M1000,0.995,1000,0.3,1,508115
large_21_N50_M1000,0.995,1000,0.5,0,515202
large_21_N50_M1000,0.995,1000,0.3,2,507816
large_21_N50_M1000,0.995,2000,0.2,0,515202
large_21_N50_M1000,0.995,1000,0.5,2,507816
large_21_N50_M1000,0.995,1000,0.5,1,508115
large_21_N50_M1000,0.995,2000,0.2,1,508115
large_21_N50_M1000,0.995,2000,0.2,2,507816
large_21_N50_M1000,0.995,2000,0.3,0,515202
large_21_N50_M1000,0.995,2000,0.3,1,508115
large_21_N50_M1000,0.995,2000,0.5,2,507816
large_21_N50_M1000,0.995,2000,0.5,1,508115
