testcase,alpha,max_no_improve,reheat_ratio,k,cost
dist_cluster_35_N30_M300,0.99,1000,0.2,1,31868
dist_cluster_35_N30_M300,0.99,1000,0.2,0,32323
dist_cluster_35_N30_M300,0.99,1000,0.3,0,31884
dist_cluster_35_N30_M300,0.99,1000,0.3,2,32340
dist_cluster_35_N30_M300,0.99,1000,0.5,0,32607
dist_cluster_35_N30_M300,0.99,1000,0.2,2,31858
dist_cluster_35_N30_M300,0.99,1000,0.5,1,32727
dist_cluster_35_N30_M300,0.99,1000,0.5,2,32264
dist_cluster_35_N30_M300,0.99,1000,0.3,1,32281
dist_cluster_35_N30_M300,0.99,2000,0.2,1,32590
dist_cluster_35_N30_M300,0.99,2000,0.2,0,32369
dist_cluster_35_N30_M300,0.99,2000,0.3,0,31916
dist_cluster_35_N30_M300,0.99,2000,0.2,2,32396
dist_cluster_35_N30_M300,0.99,2000,0.3,1,32592
dist_cluster_35_N30_M300,0.99,2000,0.3,2,32324
dist_cluster_35_N30_M300,0.99,2000,0.5,1,32472
dist_cluster_35_N30_M300,0.99,2000,0.5,0,32616
dist_cluster_35_N30_M300,0.995,1000,0.3,0,32012
dist_cluster_35_N30_M300,0.995,1000,0.2,0,32531
dist_cluster_35_N30_M300,0.995,1000,0.2,1,32650
dist_cluster_35_N30_M300,0.995,1000,0.3,2,32038
dist_cluster_35_N30_M300,0.995,1000,0.5,1,32733
dist_cluster_35_N30_M300,0.995,1000,0.2,2,32315
dist_cluster_35_N30_M300,0.99,2000,0.5,2,32374
dist_cluster_35_N30_M300,0.995,1000,0.5,0,32373
dist_cluster_35_N30_M300,0.995,2000,0.2,0,32495
dist_cluster_35_N30_M300,0.995,1000,0.5,2,32299
dist_cluster_35_N30_M300,0.995,1000,0.3,1,33027
dist_cluster_35_N30_M300,0.995,2000,0.2,1,32404
dist_cluster_35_N30_M300,0.995,2000,0.2,2,32357
dist_cluster_35_N30_M300,0.995,2000,0.3,0,32592
dist_cluster_35_N30_M300,0.995,2000,0.3,1,32587
dist_cluster_35_N30_M300,0.995,2000,0.5,0,32670
dist_cluster_35_N30_M300,0.995,2000,0.3,2,32364
dist_cluster_35_N30_M300,0.999,1000,0.2,2,32227
dist_cluster_35_N30_M300,0.995,2000,0.5,1,32533
dist_cluster_35_N30_M300,0.995,2000,0.5,2,32410
dist_cluster_35_N30_M300,0.999,1000,0.2,0,32512
dist_cluster_35_N30_M300,0.999,1000,0.2,1,32358
dist_cluster_35_N30_M300,0.999,1000,0.3,0,32038
dist_cluster_35_N30_M300,0.999,1000,0.3,2,32409
dist_cluster_35_N30_M300,0.999,1000,0.3,1,32543
dist_cluster_35_N30_M300,0.999,1000,0.5,0,32404
dist_cluster_35_N30_M300,0.999,1000,0.5,1,32678
dist_cluster_35_N30_M300,0.999,1000,0.5,2,32346
dist_cluster_35_N30_M300,0.999,2000,0.2,1,32590
dist_cluster_35_N30_M300,0.999,2000,0.3,0,32499
dist_cluster_35_N30_M300,0.999,2000,0.2,0,32599
dist_cluster_35_N30_M300,0.999,2000,0.3,2,32038
dist_cluster_35_N30_M300,0.999,2000,0.2,2,31886
dist_corner_31_N15_M150,0.99,1000,0.2,0,15751
dist_cluster_35_N30_M300,0.999,2000,0.5,0,32389
dist_cluster_35_N30_M300,0.999,2000,0.3,1,32733
dist_corner_31_N15_M150,0.99,1000,0.2,1,15590
dist_cluster_35_N30_M300,0.999,2000,0.5,2,32038
dist_cluster_35_N30_M300,0.999,2000,0.5,1,32375
dist_corner_31_N15_M150,0.99,1000,0.2,2,15585
dist_corner_31_N15_M150,0.99,1000,0.3,0,15767
dist_corner_31_N15_M150,0.99,1000,0.3,1,15566
dist_corner_31_N15_M150,0.99,1000,0.5,0,15831
dist_corner_31_N15_M150,0.99,1000,0.3,2,15627
dist_corner_31_N15_M150,0.99,1000,0.5,2,15776
dist_corner_31_N15_M150,0.99,1000,0.5,1,15682
dist_corner_31_N15_M150,0.99,2000,0.2,0,15759
dist_corner_31_N15_M150,0.99,2000,0.2,1,15696
dist_corner_31_N15_M150,0.99,2000,0.2,2,15757
dist_corner_31_N15_M150,0.99,2000,0.3,0,15809
dist_corner_31_N15_M150,0.99,2000,0.3,1,15729
dist_corner_31_N15_M150,0.99,2000,0.3,2,15767
dist_corner_31_N15_M150,0.99,2000,0.5,0,15651
dist_corner_31_N15_M150,0.99,2000,0.5,1,15847
dist_corner_31_N15_M150,0.99,2000,0.5,2,15709
dist_corner_31_N15_M150,0.995,1000,0.2,0,15636
dist_corner_31_N15_M150,0.995,1000,0.2,2,15681
dist_corner_31_N15_M150,0.995,1000,0.3,0,15425
dist_corner_31_N15_M150,0.995,1000,0.2,1,15811
dist_corner_31_N15_M150,0.995,1000,0.3,1,15539
dist_corner_31_N15_M150,0.995,1000,0.5,1,15748
dist_corner_31_N15_M150,0.995,1000,0.3,2,15629
dist_corner_31_N15_M150,0.995,1000,0.5,2,15690
dist_corner_31_N15_M150,0.995,1000,0.5,0,15382
dist_corner_31_N15_M150,0.995,2000,0.2,0,15569
dist_corner_31_N15_M150,0.995,2000,0.2,1,15641
dist_corner_31_N15_M150,0.995,2000,0.2,2,15816
dist_corner_31_N15_M150,0.995,2000,0.3,1,15662
dist_corner_31_N15_M150,0.995,2000,0.3,0,15578
dist_corner_31_N15_M150,0.995,2000,0.3,2,15677
dist_corner_31_N15_M150,0.995,2000,0.5,0,15817
dist_corner_31_N15_M150,0.995,2000,0.5,2,15892
dist_corner_31_N15_M150,0.999,1000,0.2,0,15496
dist_corner_31_N15_M150,0.995,2000,0.5,1,15781
dist_corner_31_N15_M150,0.999,1000,0.3,0,15582
dist_corner_31_N15_M150,0.999,1000,0.2,1,15687
dist_corner_31_N15_M150,0.999,1000,0.2,2,15645
dist_corner_31_N15_M150,0.999,1000,0.3,1,15627
dist_corner_31_N15_M150,0.999,1000,0.3,2,15571
dist_corner_31_N15_M150,0.999,1000,0.5,0,15610
dist_corner_31_N15_M150,0.999,1000,0.5,1,15638
dist_corner_31_N15_M150,0.999,1000,0.5,2,15710
dist_corner_31_N15_M150,0.999,2000,0.2,0,15693
dist_corner_31_N15_M150,0.999,2000,0.2,1,15664
dist_corner_31_N15_M150,0.999,2000,0.2,2,15603
dist_corner_31_N15_M150,0.999,2000,0.3,0,15952
dist_corner_31_N15_M150,0.999,2000,0.3,1,15544
dist_corner_31_N15_M150,0.999,2000,0.3,2,15612
dist_corner_31_N15_M150,0.999,2000,0.5,0,15624
dist_corner_31_N15_M150,0.999,2000,0.5,2,15883
dist_corner_31_N15_M150,0.999,2000,0.5,1,15805
dist_diagonal_38_N30_M300,0.99,1000,0.2,1,43133
dist_diagonal_38_N30_M300,0.99,1000,0.2,0,43172
dist_diagonal_38_N30_M300,0.99,1000,0.3,0,41866
dist_diagonal_38_N30_M300,0.99,1000,0.2,2,42854
dist_diagonal_38_N30_M300,0.99,1000,0.3,1,42557
dist_diagonal_38_N30_M300,0.99,1000,0.3,2,42235
dist_diagonal_38_N30_M300,0.99,1000,0.5,0,43005
dist_diagonal_38_N30_M300,0.99,1000,0.5,1,42907
dist_diagonal_38_N30_M300,0.99,2000,0.3,0,41706
dist_diagonal_38_N30_M300,0.99,2000,0.2,2,42692
dist_diagonal_38_N30_M300,0.99,2000,0.2,0,41998
dist_diagonal_38_N30_M300,0.99,2000,0.2,1,42659
dist_diagonal_38_N30_M300,0.99,2000,0.3,1,43488
dist_diagonal_38_N30_M300,0.99,1000,0.5,2,42343
dist_diagonal_38_N30_M300,0.99,2000,0.5,1,42696
dist_diagonal_38_N30_M300,0.99,2000,0.5,0,43269
dist_diagonal_38_N30_M300,0.99,2000,0.3,2,42836
dist_diagonal_38_N30_M300,0.99,2000,0.5,2,42362
dist_diagonal_38_N30_M300,0.995,1000,0.2,0,42778
dist_diagonal_38_N30_M300,0.995,1000,0.2,1,42197
dist_diagonal_38_N30_M300,0.995,1000,0.3,0,42881
dist_diagonal_38_N30_M300,0.995,1000,0.3,1,42502
dist_diagonal_38_N30_M300,0.995,1000,0.2,2,42633
dist_diagonal_38_N30_M300,0.995,1000,0.5,1,41975
dist_diagonal_38_N30_M300,0.995,1000,0.5,0,42909
dist_diagonal_38_N30_M300,0.995,1000,0.3,2,42464
dist_diagonal_38_N30_M300,0.995,2000,0.2,0,42566
dist_diagonal_38_N30_M300,0.995,1000,0.5,2,42279
dist_diagonal_38_N30_M300,0.995,2000,0.2,1,42716
dist_diagonal_38_N30_M300,0.995,2000,0.2,2,42558
dist_diagonal_38_N30_M300,0.995,2000,0.3,0,42443
dist_diagonal_38_N30_M300,0.995,2000,0.3,1,43227
dist_diagonal_38_N30_M300,0.995,2000,0.5,0,42326
dist_diagonal_38_N30_M300,0.995,2000,0.3,2,42243
dist_diagonal_38_N30_M300,0.995,2000,0.5,2,42398
dist_diagonal_38_N30_M300,0.999,1000,0.2,2,42336
dist_diagonal_38_N30_M300,0.995,2000,0.5,1,42204
dist_diagonal_38_N30_M300,0.999,1000,0.2,1,43156
dist_diagonal_38_N30_M300,0.999,1000,0.3,0,41718
dist_diagonal_38_N30_M300,0.999,1000,0.2,0,42614
dist_diagonal_38_N30_M300,0.999,1000,0.3,1,43470
dist_diagonal_38_N30_M300,0.999,1000,0.3,2,42461
dist_diagonal_38_N30_M300,0.999,1000,0.5,1,42520
dist_diagonal_38_N30_M300,0.999,1000,0.5,2,41794
dist_diagonal_38_N30_M300,0.999,1000,0.5,0,42846
dist_diagonal_38_N30_M300,0.999,2000,0.2,0,41797
dist_diagonal_38_N30_M300,0.999,2000,0.2,2,42042
dist_diagonal_38_N30_M300,0.999,2000,0.2,1,43196
dist_diagonal_38_N30_M300,0.999,2000,0.3,0,42912
dist_diagonal_38_N30_M300,0.999,2000,0.3,1,42740
dist_diagonal_38_N30_M300,0.999,2000,0.5,1,42460
dist_diagonal_38_N30_M300,0.999,2000,0.5,2,42631
dist_diagonal_38_N30_M300,0.999,2000,0.3,2,42854
dist_diagonal_38_N30_M300,0.999,2000,0.5,0,42802
edge_N1_24_N1_M500,0.99,1000,0.2,2,161168
edge_N1_24_N1_M500,0.99,1000,0.2,0,163580
edge_N1_24_N1_M500,0.99,1000,0.3,2,160632
edge_N1_24_N1_M500,0.99,1000,0.2,1,162322
edge_N1_24_N1_M500,0.99,1000,0.3,1,161890
edge_N1_24_N1_M500,0.99,1000,0.3,0,162531
edge_N1_24_N1_M500,0.99,1000,0.5,0,163580
edge_N1_24_N1_M500,0.99,1000,0.5,1,163959
edge_N1_24_N1_M500,0.99,2000,0.2,0,161219
edge_N1_24_N1_M500,0.99,2000,0.2,1,165391
edge_N1_24_N1_M500,0.99,2000,0.2,2,161969
edge_N1_24_N1_M500,0.99,1000,0.5,2,164105
edge_N1_24_N1_M500,0.99,2000,0.3,0,161881
edge_N1_24_N1_M500,0.99,2000,0.3,1,158791
edge_N1_24_N1_M500,0.99,2000,0.3,2,161128
edge_N1_24_N1_M500,0.99,2000,0.5,1,163686
edge_N1_24_N1_M500,0.99,2000,0.5,0,161914
edge_N1_24_N1_M500,0.99,2000,0.5,2,162630
edge_N1_24_N1_M500,0.995,1000,0.2,0,162848
edge_N1_24_N1_M500,0.995,1000,0.2,1,166817
edge_N1_24_N1_M500,0.995,1000,0.2,2,162001
edge_N1_24_N1_M500,0.995,1000,0.3,0,163580
edge_N1_24_N1_M500,0.995,1000,0.3,1,164058
edge_N1_24_N1_M500,0.995,1000,0.3,2,161814
edge_N1_24_N1_M500,0.995,1000,0.5,0,163580
edge_N1_24_N1_M500,0.995,1000,0.5,1,163952
edge_N1_24_N1_M500,0.995,2000,0.2,0,160131
edge_N1_24_N1_M500,0.995,1000,0.5,2,164320
edge_N1_24_N1_M500,0.995,2000,0.3,0,160142
edge_N1_24_N1_M500,0.995,2000,0.3,1,161141
edge_N1_24_N1_M500,0.995,2000,0.2,1,162062
edge_N1_24_N1_M500,0.995,2000,0.2,2,158443
edge_N1_24_N1_M500,0.995,2000,0.3,2,160347
edge_N1_24_N1_M500,0.995,2000,0.5,0,159308
edge_N1_24_N1_M500,0.995,2000,0.5,1,164115
edge_N1_24_N1_M500,0.995,2000,0.5,2,160378
edge_N1_24_N1_M500,0.999,1000,0.2,2,163060
edge_N1_24_N1_M500,0.999,1000,0.2,1,162351
edge_N1_24_N1_M500,0.999,1000,0.3,2,163742
edge_N1_24_N1_M500,0.999,1000,0.2,0,161278
edge_N1_24_N1_M500,0.999,1000,0.3,1,162241
edge_N1_24_N1_M500,0.999,1000,0.3,0,163580
edge_N1_24_N1_M500,0.999,1000,0.5,1,166421
edge_N1_24_N1_M500,0.999,1000,0.5,0,163580
edge_N1_24_N1_M500,0.999,1000,0.5,2,161452
