testcase,num_ants,alpha,beta,rho,cost_min,cost_avg
large_19_N40_M800,50,1.0,4.0,0.1,409354,418783.666667
large_19_N40_M800,50,2.0,2.0,0.1,841187,1017038.333333
large_19_N40_M800,50,2.0,3.0,0.1,427073,434743.0
large_19_N40_M800,50,2.0,4.0,0.1,392360,396268.333333
large_19_N40_M800,100,1.0,2.0,0.1,1396742,1405467.333333
large_19_N40_M800,100,1.0,3.0,0.1,614391,620679.0
large_19_N40_M800,100,1.0,4.0,0.1,465678,470662.0
large_19_N40_M800,100,2.0,2.0,0.1,1347044,1403439.0
large_19_N40_M800,100,2.0,3.0,0.1,626538,639196.0
large_19_N40_M800,100,2.0,4.0,0.1,458965,462226.333333
large_21_N50_M1000,50,1.0,2.0,0.1,2240139,2267006.333333
large_21_N50_M1000,50,1.0,3.0,0.1,984064,989577.0
large_21_N50_M1000,50,1.0,4.0,0.1,688205,697363.0
large_21_N50_M1000,50,2.0,2.0,0.1,2205631,2217712.333333
large_21_N50_M1000,50,2.0,3.0,0.1,865919,898227.666667
large_21_N50_M1000,50,2.0,4.0,0.1,666364,669951.333333
large_21_N50_M1000,100,1.0,2.0,0.1,2277838,2298452.666667
large_21_N50_M1000,100,1.0,3.0,0.1,986284,996145.333333
large_21_N50_M1000,100,1.0,4.0,0.1,692006,704392.0
large_21_N50_M1000,100,2.0,2.0,0.1,2274602,2300122.333333
large_21_N50_M1000,100,2.0,3.0,0.1,985820,989607.666667
large_21_N50_M1000,100,2.0,4.0,0.1,702677,704554.0
large_22_N50_M1000,50,1.0,2.0,0.1,2244764,2259372.666667
large_22_N50_M1000,50,1.0,3.0,0.1,936599,951727.0
large_22_N50_M1000,50,1.0,4.0,0.1,662470,668843.333333
large_22_N50_M1000,50,2.0,2.0,0.1,2108518,2169006.0
large_22_N50_M1000,50,2.0,3.0,0.1,835176,857661.0
large_22_N50_M1000,50,2.0,4.0,0.1,627366,636501.0
large_22_N50_M1000,100,1.0,2.0,0.1,2249402,2262650.666667
large_22_N50_M1000,100,1.0,3.0,0.1,979696,987911.0
large_22_N50_M1000,100,1.0,4.0,0.1,684989,694798.666667
large_22_N50_M1000,100,2.0,2.0,0.1,2170573,2228447.0
large_22_N50_M1000,100,2.0,3.0,0.1,937630,954716.666667
large_22_N50_M1000,100,2.0,4.0,0.1,667377,674022.333333
medium_14_N30_M250,50,1.0,2.0,0.1,97468,102245.666667
medium_14_N30_M250,50,1.0,3.0,0.1,72988,74840.333333
medium_14_N30_M250,50,1.0,4.0,0.1,66174,67286.333333
medium_14_N30_M250,50,2.0,2.0,0.1,72608,74926.333333
medium_14_N30_M250,50,2.0,3.0,0.1,67453,67636.333333
medium_14_N30_M250,50,2.0,4.0,0.1,66416,67694.0
medium_14_N30_M250,100,1.0,2.0,0.1,93191,99421.333333
medium_14_N30_M250,100,1.0,3.0,0.1,73038,75054.666667
medium_14_N30_M250,100,1.0,4.0,0.1,67211,68822.333333
medium_14_N30_M250,100,2.0,2.0,0.1,71665,73862.666667
medium_14_N30_M250,100,2.0,3.0,0.1,67671,67999.0
medium_14_N30_M250,100,2.0,4.0,0.1,64247,66992.0
medium_15_N30_M300,50,1.0,2.0,0.1,104935,110992.666667
medium_15_N30_M300,50,1.0,3.0,0.1,78031,80050.333333
medium_15_N30_M300,50,1.0,4.0,0.1,67084,68248.666667
medium_15_N30_M300,50,2.0,2.0,0.1,75828,76949.666667
medium_15_N30_M300,50,2.0,3.0,0.1,70968,72525.0
medium_15_N30_M300,50,2.0,4.0,0.1,68082,68712.333333
medium_15_N30_M300,100,1.0,2.0,0.1,106244,110124.0
medium_15_N30_M300,100,1.0,3.0,0.1,75618,78513.333333
medium_15_N30_M300,100,1.0,4.0,0.1,66752,69180.333333
medium_15_N30_M300,100,2.0,2.0,0.1,73660,76718.666667
medium_15_N30_M300,100,2.0,3.0,0.1,68171,70905.666667
medium_15_N30_M300,100,2.0,4.0,0.1,68252,70591.333333
medium_17_N35_M400,50,1.0,2.0,0.1,240979,254349.0
medium_17_N35_M400,50,1.0,3.0,0.1,156970,162041.333333
medium_17_N35_M400,50,1.0,4.0,0.1,140664,142141.666667
medium_17_N35_M400,50,2.0,2.0,0.1,143989,150721.0
medium_17_N35_M400,50,2.0,3.0,0.1,131369,134393.333333
medium_17_N35_M400,50,2.0,4.0,0.1,126875,130043.333333
medium_17_N35_M400,100,1.0,2.0,0.1,253302,261623.666667
medium_17_N35_M400,100,1.0,3.0,0.1,162361,163840.333333
medium_17_N35_M400,100,1.0,4.0,0.1,141341,145362.0
medium_17_N35_M400,100,2.0,2.0,0.1,151624,157494.666667
medium_17_N35_M400,100,2.0,3.0,0.1,134068,134911.333333
medium_17_N35_M400,100,2.0,4.0,0.1,126573,127484.0
