testcase,alpha,max_no_improve,reheat_ratio,cost_min,cost_avg
edge_dense_30_N50_M1000,0.995,1000,0.5,672,672.0
edge_dense_30_N50_M1000,0.995,2000,0.2,672,672.0
edge_dense_30_N50_M1000,0.995,2000,0.3,672,672.0
edge_dense_30_N50_M1000,0.995,2000,0.5,672,672.0
edge_dense_30_N50_M1000,0.999,1000,0.2,672,672.0
edge_dense_30_N50_M1000,0.999,1000,0.3,672,672.0
edge_dense_30_N50_M1000,0.999,1000,0.5,672,672.0
edge_dense_30_N50_M1000,0.999,2000,0.2,672,672.0
edge_dense_30_N50_M1000,0.999,2000,0.3,672,672.0
edge_dense_30_N50_M1000,0.999,2000,0.5,672,672.0
edge_infeas_26_N30_M200,0.99,1000,0.2,-1,-1
edge_infeas_26_N30_M200,0.99,1000,0.3,-1,-1
edge_infeas_26_N30_M200,0.99,1000,0.5,-1,-1
edge_infeas_26_N30_M200,0.99,2000,0.2,-1,-1
edge_infeas_26_N30_M200,0.99,2000,0.3,-1,-1
edge_infeas_26_N30_M200,0.99,2000,0.5,-1,-1
edge_infeas_26_N30_M200,0.995,1000,0.2,-1,-1
edge_infeas_26_N30_M200,0.995,1000,0.3,-1,-1
edge_infeas_26_N30_M200,0.995,1000,0.5,-1,-1
edge_infeas_26_N30_M200,0.995,2000,0.2,-1,-1
edge_infeas_26_N30_M200,0.995,2000,0.3,-1,-1
edge_infeas_26_N30_M200,0.995,2000,0.5,-1,-1
edge_infeas_26_N30_M200,0.999,1000,0.2,-1,-1
edge_infeas_26_N30_M200,0.999,1000,0.3,-1,-1
edge_infeas_26_N30_M200,0.999,1000,0.5,-1,-1
edge_infeas_26_N30_M200,0.999,2000,0.2,-1,-1
edge_infeas_26_N30_M200,0.999,2000,0.3,-1,-1
edge_infeas_26_N30_M200,0.999,2000,0.5,-1,-1
edge_sparse_27_N40_M800,0.99,1000,0.2,348658,357708.666667
edge_sparse_27_N40_M800,0.99,1000,0.3,348658,361247.333333
edge_sparse_27_N40_M800,0.99,1000,0.5,355021,362349.666667
edge_sparse_27_N40_M800,0.99,2000,0.2,355021,362995.666667
edge_sparse_27_N40_M800,0.99,2000,0.3,348658,363245.333333
edge_sparse_27_N40_M800,0.99,2000,0.5,348658,363245.333333
edge_sparse_27_N40_M800,0.995,1000,0.2,354203,362629.333333
edge_sparse_27_N40_M800,0.995,1000,0.3,354203,364092.333333
edge_sparse_27_N40_M800,0.995,1000,0.5,354203,362077.0
edge_sparse_27_N40_M800,0.995,2000,0.2,343214,361430.666667
edge_sparse_27_N40_M800,0.995,2000,0.3,343214,358356.333333
edge_sparse_27_N40_M800,0.995,2000,0.5,354203,362019.333333
edge_sparse_27_N40_M800,0.999,1000,0.2,354203,361788.0
edge_sparse_27_N40_M800,0.999,1000,0.3,355189,357018.666667
edge_sparse_27_N40_M800,0.999,1000,0.5,349744,359897.0
edge_sparse_27_N40_M800,0.999,2000,0.2,349744,355924.666667
edge_sparse_27_N40_M800,0.999,2000,0.3,349744,358581.0
edge_sparse_27_N40_M800,0.999,2000,0.5,349744,363607.333333
large_19_N40_M800,0.99,1000,0.2,351717,354340.333333
large_19_N40_M800,0.99,1000,0.3,352539,353185.666667
large_19_N40_M800,0.99,1000,0.5,353346,354883.333333
large_19_N40_M800,0.99,2000,0.2,353346,354596.0
large_19_N40_M800,0.99,2000,0.3,353346,354596.0
large_19_N40_M800,0.99,2000,0.5,353346,354596.0
large_19_N40_M800,0.995,1000,0.2,353346,354883.333333
large_19_N40_M800,0.995,1000,0.3,353346,353628.333333
large_19_N40_M800,0.995,1000,0.5,353346,354883.333333
large_19_N40_M800,0.995,2000,0.2,353346,354883.333333
large_19_N40_M800,0.995,2000,0.3,353346,354883.333333
large_19_N40_M800,0.995,2000,0.5,353672,355233.0
large_19_N40_M800,0.999,1000,0.2,353346,354211.666667
large_19_N40_M800,0.999,1000,0.3,353672,356672.0
large_19_N40_M800,0.999,1000,0.5,357259,359001.0
large_19_N40_M800,0.999,2000,0.2,357259,359001.0
large_19_N40_M800,0.999,2000,0.3,357259,359428.0
large_19_N40_M800,0.999,2000,0.5,357259,359428.0
large_21_N50_M1000,0.99,1000,0.2,507816,510377.666667
large_21_N50_M1000,0.99,1000,0.3,507816,510377.666667
large_21_N50_M1000,0.99,1000,0.5,507816,510377.666667
large_21_N50_M1000,0.99,2000,0.2,507816,510377.666667
large_21_N50_M1000,0.99,2000,0.3,507816,510377.666667
large_21_N50_M1000,0.99,2000,0.5,507816,510363.666667
large_21_N50_M1000,0.995,1000,0.2,507816,510377.666667
large_21_N50_M1000,0.995,1000,0.3,507816,510377.666667
large_21_N50_M1000,0.995,1000,0.5,507816,510377.666667
large_21_N50_M1000,0.995,2000,0.2,507816,510377.666667
large_21_N50_M1000,0.995,2000,0.3,507816,510377.666667
large_21_N50_M1000,0.995,2000,0.5,507816,510377.666667
large_21_N50_M1000,0.999,1000,0.2,507816,510377.666667
large_21_N50_M1000,0.999,1000,0.3,507816,510377.666667
large_21_N50_M1000,0.999,1000,0.5,507816,510377.666667
large_21_N50_M1000,0.999,2000,0.2,507816,510377.666667
large_21_N50_M1000,0.999,2000,0.3,507816,510377.666667
large_21_N50_M1000,0.999,2000,0.5,507816,510377.666667
large_22_N50_M1000,0.99,1000,0.2,498268,506725.0
large_22_N50_M1000,0.99,1000,0.3,498268,506725.0
large_22_N50_M1000,0.99,1000,0.5,498268,506725.0
large_22_N50_M1000,0.99,2000,0.2,498268,506725.0
large_22_N50_M1000,0.99,2000,0.3,498268,506725.0
large_22_N50_M1000,0.99,2000,0.5,498268,506725.0
large_22_N50_M1000,0.995,1000,0.2,498268,506725.0
large_22_N50_M1000,0.995,1000,0.3,498268,506725.0
large_22_N50_M1000,0.995,1000,0.5,498268,506725.0
large_22_N50_M1000,0.995,2000,0.2,498268,506725.0
large_22_N50_M1000,0.995,2000,0.3,498268,506725.0
large_22_N50_M1000,0.995,2000,0.5,498268,506725.0
large_22_N50_M1000,0.999,1000,0.2,498268,506725.0
large_22_N50_M1000,0.999,1000,0.3,498268,506725.0
large_22_N50_M1000,0.999,1000,0.5,498268,506725.0
large_22_N50_M1000,0.999,2000,0.2,498268,506725.0
large_22_N50_M1000,0.999,2000,0.3,498268,506725.0
large_22_N50_M1000,0.999,2000,0.5,498268,506725.0
medium_14_N30_M250,0.99,1000,0.2,65457,66022.333333
medium_14_N30_M250,0.99,1000,0.3,66267,66453.333333
medium_14_N30_M250,0.99,1000,0.5,66300,66495.333333
medium_14_N30_M250,0.99,2000,0.2,66250,66382.666667
medium_14_N30_M250,0.99,2000,0.3,66250,66382.666667
medium_14_N30_M250,0.99,2000,0.5,65566,65977.333333
medium_14_N30_M250,0.995,1000,0.2,66132,66402.0
medium_14_N30_M250,0.995,1000,0.3,66267,66453.333333
medium_14_N30_M250,0.995,1000,0.5,65538,66184.0
medium_14_N30_M250,0.995,2000,0.2,65867,66255.0
medium_14_N30_M250,0.995,2000,0.3,65574,65977.0
medium_14_N30_M250,0.995,2000,0.5,65867,66190.333333
medium_14_N30_M250,0.999,1000,0.2,66086,66300.333333
medium_14_N30_M250,0.999,1000,0.3,65997,66132.0
medium_14_N30_M250,0.999,1000,0.5,66501,66620.666667
medium_14_N30_M250,0.999,2000,0.2,66086,66350.0
medium_14_N30_M250,0.999,2000,0.3,65636,66024.0
medium_14_N30_M250,0.999,2000,0.5,66086,66378.0
medium_15_N30_M300,0.99,1000,0.2,77811,78467.0
medium_15_N30_M300,0.99,1000,0.3,78335,79509.333333
medium_15_N30_M300,0.99,1000,0.5,78335,79283.333333
medium_15_N30_M300,0.99,2000,0.2,78335,78875.666667
medium_15_N30_M300,0.99,2000,0.3,78335,79236.0
medium_15_N30_M300,0.99,2000,0.5,78335,79217.666667
medium_15_N30_M300,0.995,1000,0.2,77387,78325.666667
medium_15_N30_M300,0.995,1000,0.3,78335,79364.666667
medium_15_N30_M300,0.995,1000,0.5,78335,79303.333333
medium_15_N30_M300,0.995,2000,0.2,78335,79041.333333
medium_15_N30_M300,0.995,2000,0.3,78335,79041.333333
medium_15_N30_M300,0.995,2000,0.5,78335,79041.333333
medium_15_N30_M300,0.999,1000,0.2,78335,78983.666667
medium_15_N30_M300,0.999,1000,0.3,78335,79078.333333
medium_15_N30_M300,0.999,1000,0.5,78335,79303.333333
medium_15_N30_M300,0.999,2000,0.2,78335,79255.0
medium_15_N30_M300,0.999,2000,0.3,78335,79187.0
medium_15_N30_M300,0.999,2000,0.5,77156,78823.0
medium_17_N35_M400,0.99,1000,0.2,132927,133346.333333
medium_17_N35_M400,0.99,1000,0.3,130458,132523.333333
medium_17_N35_M400,0.99,1000,0.5,133151,133421.0
medium_17_N35_M400,0.99,2000,0.2,133405,133866.666667
medium_17_N35_M400,0.99,2000,0.3,133405,133866.666667
medium_17_N35_M400,0.99,2000,0.5,133405,133866.666667
medium_17_N35_M400,0.995,1000,0.2,132927,133346.333333
medium_17_N35_M400,0.995,1000,0.3,130458,132523.333333
medium_17_N35_M400,0.995,1000,0.5,130404,132420.666667
medium_17_N35_M400,0.995,2000,0.2,133405,133866.666667
medium_17_N35_M400,0.995,2000,0.3,133405,133866.666667
medium_17_N35_M400,0.995,2000,0.5,133405,133866.666667
medium_17_N35_M400,0.999,1000,0.2,132927,133346.333333
medium_17_N35_M400,0.999,1000,0.3,130458,132523.333333
medium_17_N35_M400,0.999,1000,0.5,133151,133421.0
medium_17_N35_M400,0.999,2000,0.2,133405,133866.666667
medium_17_N35_M400,0.999,2000,0.3,132470,133555.0
medium_17_N35_M400,0.999,2000,0.5,132470,133555.0
