testcase,alpha,max_no_improve,reheat_ratio,cost_min,cost_avg
dist_cluster_35_N30_M300,0.99,1000,0.2,31858,32016.333333
dist_cluster_35_N30_M300,0.99,1000,0.3,31884,32168.333333
dist_cluster_35_N30_M300,0.99,1000,0.5,32264,32532.666667
dist_cluster_35_N30_M300,0.99,2000,0.2,32369,32451.666667
dist_cluster_35_N30_M300,0.99,2000,0.3,31916,32277.333333
dist_cluster_35_N30_M300,0.99,2000,0.5,32374,32487.333333
dist_cluster_35_N30_M300,0.995,1000,0.2,32315,32498.666667
dist_cluster_35_N30_M300,0.995,1000,0.3,32012,32359.0
dist_cluster_35_N30_M300,0.995,1000,0.5,32299,32468.333333
dist_cluster_35_N30_M300,0.995,2000,0.2,32357,32418.666667
dist_cluster_35_N30_M300,0.995,2000,0.3,32364,32514.333333
dist_cluster_35_N30_M300,0.995,2000,0.5,32410,32537.666667
dist_cluster_35_N30_M300,0.999,1000,0.2,32227,32365.666667
dist_cluster_35_N30_M300,0.999,1000,0.3,32038,32330.0
dist_cluster_35_N30_M300,0.999,1000,0.5,32346,32476.0
dist_cluster_35_N30_M300,0.999,2000,0.2,31886,32358.333333
dist_cluster_35_N30_M300,0.999,2000,0.3,32038,32423.333333
dist_cluster_35_N30_M300,0.999,2000,0.5,32038,32267.333333
dist_corner_31_N15_M150,0.99,1000,0.2,15585,15642.0
dist_corner_31_N15_M150,0.99,1000,0.3,15566,15653.333333
dist_corner_31_N15_M150,0.99,1000,0.5,15682,15763.0
dist_corner_31_N15_M150,0.99,2000,0.2,15696,15737.333333
dist_corner_31_N15_M150,0.99,2000,0.3,15729,15768.333333
dist_corner_31_N15_M150,0.99,2000,0.5,15651,15735.666667
dist_corner_31_N15_M150,0.995,1000,0.2,15636,15709.333333
dist_corner_31_N15_M150,0.995,1000,0.3,15425,15531.0
dist_corner_31_N15_M150,0.995,1000,0.5,15382,15606.666667
dist_corner_31_N15_M150,0.995,2000,0.2,15569,15675.333333
dist_corner_31_N15_M150,0.995,2000,0.3,15578,15639.0
dist_corner_31_N15_M150,0.995,2000,0.5,15781,15830.0
dist_corner_31_N15_M150,0.999,1000,0.2,15496,15609.333333
dist_corner_31_N15_M150,0.999,1000,0.3,15571,15593.333333
dist_corner_31_N15_M150,0.999,1000,0.5,15610,15652.666667
dist_corner_31_N15_M150,0.999,2000,0.2,15603,15653.333333
dist_corner_31_N15_M150,0.999,2000,0.3,15544,15702.666667
dist_corner_31_N15_M150,0.999,2000,0.5,15624,15770.666667
dist_diagonal_38_N30_M300,0.99,1000,0.2,42854,43053.0
dist_diagonal_38_N30_M300,0.99,1000,0.3,41866,42219.333333
dist_diagonal_38_N30_M300,0.99,1000,0.5,42343,42751.666667
dist_diagonal_38_N30_M300,0.99,2000,0.2,41998,42449.666667
dist_diagonal_38_N30_M300,0.99,2000,0.3,41706,42676.666667
dist_diagonal_38_N30_M300,0.99,2000,0.5,42362,42775.666667
dist_diagonal_38_N30_M300,0.995,1000,0.2,42197,42536.0
dist_diagonal_38_N30_M300,0.995,1000,0.3,42464,42615.666667
dist_diagonal_38_N30_M300,0.995,1000,0.5,41975,42387.666667
dist_diagonal_38_N30_M300,0.995,2000,0.2,42558,42613.333333
dist_diagonal_38_N30_M300,0.995,2000,0.3,42243,42637.666667
dist_diagonal_38_N30_M300,0.995,2000,0.5,42204,42309.333333
dist_diagonal_38_N30_M300,0.999,1000,0.2,42336,42702.0
dist_diagonal_38_N30_M300,0.999,1000,0.3,41718,42549.666667
dist_diagonal_38_N30_M300,0.999,1000,0.5,41794,42386.666667
dist_diagonal_38_N30_M300,0.999,2000,0.2,41797,42345.0
dist_diagonal_38_N30_M300,0.999,2000,0.3,42740,42835.333333
dist_diagonal_38_N30_M300,0.999,2000,0.5,42460,42631.0
edge_N1_24_N1_M500,0.99,1000,0.2,161168,162356.666667
edge_N1_24_N1_M500,0.99,1000,0.3,160632,161684.333333
edge_N1_24_N1_M500,0.99,1000,0.5,163580,163881.333333
edge_N1_24_N1_M500,0.99,2000,0.2,161219,162859.666667
edge_N1_24_N1_M500,0.99,2000,0.3,158791,160600.0
edge_N1_24_N1_M500,0.99,2000,0.5,161914,162743.333333
edge_N1_24_N1_M500,0.995,1000,0.2,162001,163888.666667
edge_N1_24_N1_M500,0.995,1000,0.3,161814,163150.666667
edge_N1_24_N1_M500,0.995,1000,0.5,163580,163950.666667
edge_N1_24_N1_M500,0.995,2000,0.2,158443,160212.0
edge_N1_24_N1_M500,0.995,2000,0.3,160142,160543.333333
edge_N1_24_N1_M500,0.995,2000,0.5,159308,161267.0
edge_N1_24_N1_M500,0.999,1000,0.2,161278,162229.666667
edge_N1_24_N1_M500,0.999,1000,0.3,162241,163187.666667
edge_N1_24_N1_M500,0.999,1000,0.5,161452,163817.666667
edge_N1_24_N1_M500,0.999,2000,0.2,162047,162822.333333
edge_N1_24_N1_M500,0.999,2000,0.3,161555,162517.0
edge_N1_24_N1_M500,0.999,2000,0.5,162568,163682.0
edge_dense_30_N50_M1000,0.99,1000,0.2,672,672.0
edge_dense_30_N50_M1000,0.99,1000,0.3,672,672.0
edge_dense_30_N50_M1000,0.99,1000,0.5,672,672.0
edge_dense_30_N50_M1000,0.99,2000,0.2,672,672.0
edge_dense_30_N50_M1000,0.99,2000,0.3,672,672.0
edge_dense_30_N50_M1000,0.99,2000,0.5,672,672.0
edge_dense_30_N50_M1000,0.995,1000,0.2,672,672.0
edge_dense_30_N50_M1000,0.995,1000,0.3,672,672.0
