testcase,metaheuristic,cost_min
dist_cluster_35_N30_M300,GUIDED_LOCAL_SEARCH,31254
dist_corner_31_N15_M150,GUIDED_LOCAL_SEARCH,14690
dist_diagonal_38_N30_M300,GUIDED_LOCAL_SEARCH,38417
edge_N1_24_N1_M500,GUIDED_LOCAL_SEARCH,128020
edge_dense_30_N50_M1000,GUIDED_LOCAL_SEARCH,672
edge_infeas_26_N30_M200,GUIDED_LOCAL_SEARCH,-1
edge_sparse_27_N40_M800,GUIDED_LOCAL_SEARCH,269417
large_19_N40_M800,GUIDED_LOCAL_SEARCH,318744
large_21_N50_M1000,GUIDED_LOCAL_SEARCH,462285
large_22_N50_M1000,GUIDED_LOCAL_SEARCH,451332
medium_14_N30_M250,GUIDED_LOCAL_SEARCH,61442
medium_15_N30_M300,GUIDED_LOCAL_SEARCH,67289
medium_17_N35_M400,GUIDED_LOCAL_SEARCH,117839
