testcase,num_ants,alpha,beta,rho,k,cost
medium_15_N30_M300,100,2.0,4.0,0.1,2,70516
medium_17_N35_M400,50,1.0,2.0,0.1,0,240979
medium_17_N35_M400,50,1.0,2.0,0.1,1,270057
medium_17_N35_M400,50,1.0,2.0,0.1,2,252011
medium_17_N35_M400,50,1.0,3.0,0.1,0,156970
medium_17_N35_M400,50,1.0,3.0,0.1,1,164894
medium_17_N35_M400,50,1.0,4.0,0.1,0,144300
medium_17_N35_M400,50,1.0,3.0,0.1,2,164260
medium_17_N35_M400,50,1.0,4.0,0.1,1,141461
medium_17_N35_M400,50,1.0,4.0,0.1,2,140664
medium_17_N35_M400,50,2.0,2.0,0.1,1,157332
medium_17_N35_M400,50,2.0,2.0,0.1,0,150842
medium_17_N35_M400,50,2.0,2.0,0.1,2,143989
medium_17_N35_M400,50,2.0,3.0,0.1,1,135249
medium_17_N35_M400,50,2.0,3.0,0.1,2,131369
medium_17_N35_M400,50,2.0,3.0,0.1,0,136562
medium_17_N35_M400,50,2.0,4.0,0.1,0,132096
medium_17_N35_M400,50,2.0,4.0,0.1,1,131159
medium_17_N35_M400,50,2.0,4.0,0.1,2,126875
medium_17_N35_M400,100,1.0,2.0,0.1,0,253302
medium_17_N35_M400,100,1.0,2.0,0.1,1,266588
medium_17_N35_M400,100,1.0,2.0,0.1,2,264981
medium_17_N35_M400,100,1.0,3.0,0.1,0,162361
medium_17_N35_M400,100,1.0,3.0,0.1,1,166718
medium_17_N35_M400,100,1.0,3.0,0.1,2,162442
medium_17_N35_M400,100,1.0,4.0,0.1,0,148028
medium_17_N35_M400,100,1.0,4.0,0.1,1,141341
medium_17_N35_M400,100,1.0,4.0,0.1,2,146717
medium_17_N35_M400,100,2.0,2.0,0.1,0,158632
medium_17_N35_M400,100,2.0,2.0,0.1,1,162228
medium_17_N35_M400,100,2.0,2.0,0.1,2,151624
medium_17_N35_M400,100,2.0,3.0,0.1,0,134068
medium_17_N35_M400,100,2.0,3.0,0.1,1,134269
medium_17_N35_M400,100,2.0,3.0,0.1,2,136397
medium_17_N35_M400,100,2.0,4.0,0.1,0,126573
medium_17_N35_M400,100,2.0,4.0,0.1,1,126629
medium_17_N35_M400,100,2.0,4.0,0.1,2,129250
