testcase,num_ants,alpha,beta,rho,k,cost
dist_diagonal_38_N30_M300,100,2.0,2.0,0.1,0,46360
dist_diagonal_38_N30_M300,100,1.0,4.0,0.1,1,45215
dist_diagonal_38_N30_M300,100,1.0,4.0,0.1,0,46200
dist_diagonal_38_N30_M300,100,1.0,4.0,0.1,2,42736
dist_diagonal_38_N30_M300,100,2.0,3.0,0.1,0,44250
dist_diagonal_38_N30_M300,100,1.0,2.0,0.1,0,59911
dist_diagonal_38_N30_M300,100,1.0,2.0,0.1,1,62350
dist_diagonal_38_N30_M300,100,1.0,2.0,0.1,2,56117
dist_diagonal_38_N30_M300,100,1.0,3.0,0.1,0,47288
dist_diagonal_38_N30_M300,100,1.0,3.0,0.1,1,48301
dist_diagonal_38_N30_M300,100,2.0,3.0,0.1,1,42608
dist_diagonal_38_N30_M300,100,2.0,3.0,0.1,2,43523
dist_diagonal_38_N30_M300,100,2.0,4.0,0.1,0,45301
dist_diagonal_38_N30_M300,100,2.0,4.0,0.1,1,42401
dist_diagonal_38_N30_M300,100,2.0,4.0,0.1,2,42554
edge_N1_24_N1_M500,50,1.0,2.0,0.1,1,306929
edge_N1_24_N1_M500,50,1.0,3.0,0.1,0,183903
edge_N1_24_N1_M500,50,1.0,3.0,0.1,1,189101
edge_N1_24_N1_M500,50,1.0,3.0,0.1,2,188964
edge_N1_24_N1_M500,50,1.0,2.0,0.1,0,289945
edge_N1_24_N1_M500,50,1.0,2.0,0.1,2,297134
edge_N1_24_N1_M500,50,1.0,4.0,0.1,0,166912
edge_N1_24_N1_M500,50,1.0,4.0,0.1,2,162813
edge_N1_24_N1_M500,50,2.0,2.0,0.1,0,163219
edge_N1_24_N1_M500,50,1.0,4.0,0.1,1,161294
edge_N1_24_N1_M500,50,2.0,2.0,0.1,1,165310
edge_N1_24_N1_M500,50,2.0,2.0,0.1,2,162579
edge_N1_24_N1_M500,50,2.0,3.0,0.1,1,151278
edge_N1_24_N1_M500,50,2.0,3.0,0.1,0,146942
edge_N1_24_N1_M500,50,2.0,3.0,0.1,2,154209
edge_N1_24_N1_M500,100,1.0,2.0,0.1,0,292934
edge_N1_24_N1_M500,100,1.0,2.0,0.1,1,297857
edge_N1_24_N1_M500,100,1.0,2.0,0.1,2,296863
edge_N1_24_N1_M500,50,2.0,4.0,0.1,0,139432
edge_N1_24_N1_M500,50,2.0,4.0,0.1,1,144680
edge_N1_24_N1_M500,50,2.0,4.0,0.1,2,143643
edge_N1_24_N1_M500,100,1.0,3.0,0.1,0,180079
edge_N1_24_N1_M500,100,1.0,3.0,0.1,1,185476
edge_N1_24_N1_M500,100,1.0,3.0,0.1,2,186848
edge_N1_24_N1_M500,100,1.0,4.0,0.1,0,163277
edge_N1_24_N1_M500,100,1.0,4.0,0.1,1,160818
edge_N1_24_N1_M500,100,1.0,4.0,0.1,2,167324
edge_N1_24_N1_M500,100,2.0,2.0,0.1,0,182763
edge_N1_24_N1_M500,100,2.0,2.0,0.1,1,171786
edge_N1_24_N1_M500,100,2.0,2.0,0.1,2,186358
edge_N1_24_N1_M500,100,2.0,3.0,0.1,0,148577
edge_N1_24_N1_M500,100,2.0,3.0,0.1,1,149592
edge_N1_24_N1_M500,100,2.0,3.0,0.1,2,150477
edge_dense_30_N50_M1000,50,1.0,2.0,0.1,0,672
edge_dense_30_N50_M1000,50,1.0,2.0,0.1,1,672
edge_dense_30_N50_M1000,50,1.0,2.0,0.1,2,672
edge_N1_24_N1_M500,100,2.0,4.0,0.1,0,150724
edge_N1_24_N1_M500,100,2.0,4.0,0.1,2,144646
edge_N1_24_N1_M500,100,2.0,4.0,0.1,1,144309
edge_dense_30_N50_M1000,50,1.0,3.0,0.1,0,672
edge_dense_30_N50_M1000,50,1.0,3.0,0.1,1,672
edge_dense_30_N50_M1000,50,1.0,3.0,0.1,2,672
edge_dense_30_N50_M1000,50,1.0,4.0,0.1,0,672
edge_dense_30_N50_M1000,50,1.0,4.0,0.1,1,672
edge_dense_30_N50_M1000,50,1.0,4.0,0.1,2,672
edge_dense_30_N50_M1000,50,2.0,2.0,0.1,0,672
edge_dense_30_N50_M1000,50,2.0,2.0,0.1,1,672
edge_dense_30_N50_M1000,50,2.0,2.0,0.1,2,672
edge_dense_30_N50_M1000,50,2.0,3.0,0.1,0,672
edge_dense_30_N50_M1000,50,2.0,3.0,0.1,1,672
edge_dense_30_N50_M1000,50,2.0,3.0,0.1,2,672
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,0,672
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,1,672
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,2,672
edge_dense_30_N50_M1000,100,1.0,2.0,0.1,0,672
edge_dense_30_N50_M1000,100,1.0,2.0,0.1,1,672
edge_dense_30_N50_M1000,100,1.0,2.0,0.1,2,672
edge_dense_30_N50_M1000,100,1.0,3.0,0.1,0,672
edge_infeas_26_N30_M200,50,1.0,2.0,0.1,0,-1
edge_infeas_26_N30_M200,50,1.0,2.0,0.1,1,-1
edge_infeas_26_N30_M200,50,1.0,2.0,0.1,2,-1
edge_infeas_26_N30_M200,50,1.0,3.0,0.1,0,-1
edge_infeas_26_N30_M200,50,1.0,3.0,0.1,1,-1
edge_infeas_26_N30_M200,50,1.0,3.0,0.1,2,-1
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,0,-1
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,1,-1
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,2,-1
edge_infeas_26_N30_M200,50,2.0,2.0,0.1,0,-1
