testcase,pop_size,crossover_rate,mutation_rate,cost_min,cost_avg
edge_infeas_26_N30_M200,100,0.9,0.05,-1,-1
edge_infeas_26_N30_M200,100,0.9,0.1,-1,-1
edge_infeas_26_N30_M200,100,0.9,0.2,-1,-1
edge_infeas_26_N30_M200,200,0.7,0.05,-1,-1
edge_infeas_26_N30_M200,200,0.7,0.1,-1,-1
edge_infeas_26_N30_M200,200,0.7,0.2,-1,-1
edge_infeas_26_N30_M200,200,0.8,0.05,-1,-1
edge_infeas_26_N30_M200,200,0.8,0.1,-1,-1
edge_infeas_26_N30_M200,200,0.8,0.2,-1,-1
edge_infeas_26_N30_M200,200,0.9,0.05,-1,-1
edge_infeas_26_N30_M200,200,0.9,0.1,-1,-1
edge_infeas_26_N30_M200,200,0.9,0.2,-1,-1
edge_sparse_27_N40_M800,100,0.7,0.05,320500,326012.0
edge_sparse_27_N40_M800,100,0.7,0.1,334386,336252.333333
edge_sparse_27_N40_M800,100,0.7,0.2,341768,342897.0
edge_sparse_27_N40_M800,100,0.8,0.05,325818,329450.666667
edge_sparse_27_N40_M800,100,0.8,0.1,333367,336017.0
edge_sparse_27_N40_M800,100,0.8,0.2,344849,345459.0
edge_sparse_27_N40_M800,100,0.9,0.05,324319,328555.0
edge_sparse_27_N40_M800,100,0.9,0.1,332843,335174.666667
edge_sparse_27_N40_M800,100,0.9,0.2,340951,343536.666667
edge_sparse_27_N40_M800,200,0.7,0.05,325848,327708.666667
edge_sparse_27_N40_M800,200,0.7,0.1,338628,340472.333333
edge_sparse_27_N40_M800,200,0.7,0.2,343414,344724.666667
edge_sparse_27_N40_M800,200,0.8,0.05,326844,330817.0
edge_sparse_27_N40_M800,200,0.8,0.1,336573,339734.0
edge_sparse_27_N40_M800,200,0.8,0.2,344491,345792.0
edge_sparse_27_N40_M800,200,0.9,0.05,324604,325013.666667
edge_sparse_27_N40_M800,200,0.9,0.1,334458,338970.333333
edge_sparse_27_N40_M800,200,0.9,0.2,344470,345242.0
large_19_N40_M800,100,0.7,0.05,318966,320163.0
large_19_N40_M800,100,0.7,0.1,327705,328093.0
large_19_N40_M800,100,0.7,0.2,330812,331581.666667
large_19_N40_M800,100,0.8,0.05,316667,318775.0
large_19_N40_M800,100,0.8,0.1,323085,325206.0
large_19_N40_M800,100,0.8,0.2,330667,331500.0
large_19_N40_M800,100,0.9,0.05,313653,316501.0
large_19_N40_M800,100,0.9,0.1,325635,326375.333333
large_19_N40_M800,100,0.9,0.2,327551,330597.333333
large_19_N40_M800,200,0.7,0.05,323165,324942.666667
large_19_N40_M800,200,0.7,0.1,328619,330355.666667
large_19_N40_M800,200,0.7,0.2,332195,333476.333333
large_19_N40_M800,200,0.8,0.05,323878,325977.333333
large_19_N40_M800,200,0.8,0.1,330846,331356.333333
large_19_N40_M800,200,0.8,0.2,332378,333644.333333
large_19_N40_M800,200,0.9,0.05,324850,327487.666667
