testcase,cost_reference,group
edge_N1_23_N1_M300,7524,medium
medium_09_N15_M150,25596,medium
medium_15_N30_M300,74934,medium
medium_17_N35_M400,105376,medium
edge_infeas_26_N30_M200,-1,medium
dist_corner_31_N15_M150,16440,medium
dist_cluster_35_N30_M300,24626,medium
large_18_N40_M500,170346,large
large_20_N50_M800,346020,large
large_22_N50_M1000,473178,large
edge_sparse_27_N40_M800,328697,large
edge_dense_30_N50_M1000,1430,large
dist_diagonal_39_N50_M800,160903,large
